UserAgent,Info
XMRig,Cryptominer
ccminer,Cryptominer
(hydra),Hacking Tool
BFAC,Hacking Tool
brutus,Hacking Tool
cgichk,Hacking Tool
core-project,Hacking Tool
crimscanner,Hacking Tool
datacha0s,Hacking Tool
dirbuster,Hacking Tool
domino hunter,Hacking Tool
dotdotpwn,Hacking Tool
FHScan Core,Hacking Tool
floodgate,Hacking Tool
get-minimal,Hacking Tool
gootkit auto-rooter scanner,Hacking Tool
grendel-scan,Hacking Tool
inspath,Hacking Tool
internet ninja,Hacking Tool
jaascois,Hacking Tool
zmeu,Hacking Tool
masscan,Hacking Tool
morfeus fucking scanner,Hacking Tool
n-stealth,Hacking Tool
nsauditor,Hacking Tool
pmafind,Hacking Tool
security scan,Hacking Tool
springenwerk,Hacking Tool
teh forest lobster,Hacking Tool
toata dragostea,Hacking Tool
voideye,Hacking Tool
webshag,Hacking Tool
webvulnscan,Hacking Tool
whcc/,Hacking Tool
Havij,Hacking Tool
absinthe,Hacking Tool
bsqlbf,Hacking Tool
mysqloit,Hacking Tool
pangolin,Hacking Tool
sql power injector,Hacking Tool
sqlmap,Hacking Tool
sqlninja,Hacking Tool
uil2pn,Hacking Tool
ruler,Hacking Tool
Mozilla/5.0 (Windows; U; Windows NT 5.1; pt-PT; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 (.NET CLR 3.5.30729),Hacking Tool
WindowsPowerShell,Powershell
Nikto,Hacking Tool
.nasl,Hacking Tool
advanced email extractor,Hacking Tool
arachni/,Hacking Tool
autogetcontent,Hacking Tool
bilbo,Hacking Tool
cisco-torch,Hacking Tool
commix,Hacking Tool
email extractor,Hacking Tool
fhscan core 1.,Hacking Tool
grabber,Hacking Tool
havij,Hacking Tool
metis,Hacking Tool
morfeus,Hacking Tool
nessus,Hacking Tool
netsparker,Hacking Tool
nmap nse,Hacking Tool
nmap scripting engine,Hacking Tool
nmap-nse,Hacking Tool
openvas,Hacking Tool
paros,Hacking Tool
prog.customcrawler,Hacking Tool
qualys was,Hacking Tool
s.t.a.l.k.e.r.,Hacking Tool
this is an exploit,Hacking Tool
toata dragostea mea pentru diavola,Hacking Tool
user-agent:,Hacking Tool
vega/,Hacking Tool
w3af.sf.net,Hacking Tool
w3af.sourceforge.net,Hacking Tool
w3af.org,Hacking Tool
webbandit,Hacking Tool
webinspect,Hacking Tool
webtrends security analyzer,Hacking Tool
whatweb,Hacking Tool
wordpress hash grabber,Hacking Tool
xmlrpc exploit,Hacking Tool
WPScan,Hacking Tool
XSpider,Hacking Tool
SF/,Hacking Tool
FooBar/42,Hacking Tool
ScanAlert,Hacking Tool
Webscanner,Hacking Tool
Webster,Hacking Tool
fantomCrew,Hacking Tool
fantomBrowser,Hacking Tool
visvo,Hacking Tool
magereport,Hacking Tool
ltx71,Hacking Tool
websiteprotection,Hacking Tool
BigCliqueBOT,Hacking Tool
(BOT for JCE),Hacking Tool
Metasploit,Hacking Tool
360Spider,Hacking Tool
404checker,Hacking Tool
AllSubmitter,Hacking Tool
BackDoorBot,Hacking Tool
CATExplorador,Hacking Tool
almaden,
Anarchie,
ASPSeek,
attach,
autoemailspider,
BackWeb,
Bandit,
BatchFTP,
BlackWidow,
Buddy,
bumblebee,
CherryPicker,
ChinaClaw,
CICC,
Collector,
Copier,
Crescent,
Custo,
DA,
DIIbot,
DISCo,
Download Demon,
Downloader,
Download Wonder,
Drip,
DSurf15a,
EasyDL/2.99,
eCatch,
EirGrabber,
email,
EmailCollector,
EmailSiphon,
EmailWolf,
Express WebPictures,
ExtractorPro,
EyeNetIE,
FileHound,
FlashGet,
FrontPage,
GetRight,
GetSmart,
GetWeb,
gigabaz,
Go-Ahead-For-It,
gotit	,
Gozilla,
Grabber,
GrabNet,
Grafula,
grub-client,
heritrix,
HMView,
httpdown,
httrack,
HTTrack,
ia_archiver,
Image Stripper,
Image Sucker,
IndyLibrary,
Indy Library,
InterGet,
InternetLinkagent,
Internet Ninja,
InternetSeer.com,
Iria,
Jakarta,
Java,
JBHagent,
JetCar,
JOC Web Spider,
JustView,
larbin,
LeechFTP,
LexiB1ot,
lftp,
libwww,
likse,
Link,
LinkSleuth,
LinkWalker,
Magnet,
Mag-Net,
Mass Downloader,
Memo,
Microsoft URL,
MIDown tool,
Mirroe,
Mister PiX,
MS FrontPage,
MSProxy,
NavRoad,
NearSite,
NetAnts,
NetMechanic,
NetSpider,
Net Vampire,
NetZIP,
NICErsPRO,
Ninja,
Octopus,
Offline Explorer,
Offline Navigator,
Openfind,
PageGrabber,
papa Foto,
pavuk,
pcBrowser,
PHPCrawl,
Ping,
PingALink,
Pockey,
psbot,
Pump,
QRVA,
RealDownload,
Reaper,
Recorder,
ReGet,
Scooter,
Seeker,
Siphon,
sitecheck.internetseer.com,
SiteSnagger,
SlySearch,
SmartDownload,
Snake,
Snoopy,
SpaceBison,
sproose,
Stripper,
Sucker,
SuperBot,
SuperHTTP,
SurfBot,
Szukacz,
tAkeOut,
Teleport Pro,
URLSpiderPro,
Vacuum,
VoidEYE,
WebAuto,
webcollage,
WebCopier,
Web Downloader,
WebEMailExtrac,
WebFetch,
WebGo IS,
WebHook,
Web Image Collector,
WebLeacher,
WebMiner,
WebMirror,
WebReaper,
WebSauger,
Website eXtractor,
Website Quester,
Webster,
WebStripper,
Web Sucker,
WebWhacker,
WebZIP,
WEP Search,
Wget,
Whacker,
Widow,
WebBandit,
WWWOFFLE,
Xaldon WebSpider,
Xenu,
x-tractor,
Zeus,
